ticker,instrument_key
651KA31.NS,NSE_EQ|IN1920200046
651UP32.NS,NSE_EQ|IN3320250027
652KA30.NS,NSE_EQ|IN1920200491
652MH30.NS,NSE_EQ|IN2220200322
652ML30.NS,NSE_EQ|IN2420200015
652MP35.NS,NSE_EQ|IN2120200125
652NL30.NS,NSE_EQ|IN2620200021
652PY30.NS,NSE_EQ|IN3820200043
652RL28.NS,NSE_EQ|INE020B08FW6
652TS50.NS,NSE_EQ|IN4520200135
653CG28.NS,NSE_EQ|IN3520210037
653HP29.NS,NSE_EQ|IN1720200097
653KA30.NS,NSE_EQ|IN1920200459
653TN31.NS,NSE_EQ|IN3120200339
654AP30.NS,NSE_EQ|IN1020200201
654AR30.NS,NSE_EQ|IN1120200036
654GA30.NS,NSE_EQ|IN1420200066
654GA30A.NS,NSE_EQ|IN1420200207
654GJ30.NS,NSE_EQ|IN1520200073
654GS2032.NS,NSE_EQ|IN0020210244
654KA30.NS,NSE_EQ|IN1920200475
654MH27.NS,NSE_EQ|IN2220210271
654MH30.NS,NSE_EQ|IN2220200033
654MP35.NS,NSE_EQ|IN2120200133
654RJ30.NS,NSE_EQ|IN2920200150
654RJ30A.NS,NSE_EQ|IN2920200481
654TN29.NS,NSE_EQ|IN3120250730
654TN31.NS,NSE_EQ|IN3120250037
654UP30.NS,NSE_EQ|IN3320200147
654WB35.NS,NSE_EQ|IN3420200062
655AP28.NS,NSE_EQ|IN1020200144
655AP33.NS,NSE_EQ|IN1020200433
655AP35.NS,NSE_EQ|IN1020200268
655AS30.NS,NSE_EQ|IN1220200027
655AS30A.NS,NSE_EQ|IN1220200035
655GA30.NS,NSE_EQ|IN1420200173
655GA30A.NS,NSE_EQ|IN1420200199
655KL30.NS,NSE_EQ|IN2020200118
655MH28.NS,NSE_EQ|IN2220200256
655RJ30.NS,NSE_EQ|IN2920200184
655RJ50.NS,NSE_EQ|IN2920200226
655RJ55.NS,NSE_EQ|IN2920200234
655TN29.NS,NSE_EQ|IN3120250391
655TN30.NS,NSE_EQ|IN3120200149
655TR30.NS,NSE_EQ|IN3220200023
655WB30.NS,NSE_EQ|IN3420200054
656AP31.NS,NSE_EQ|IN1020200235
656AS30.NS,NSE_EQ|IN1220200100
656KA30.NS,NSE_EQ|IN1920200210
656MH30.NS,NSE_EQ|IN2220200280
656MH32.NS,NSE_EQ|IN2220200306
656MN30.NS,NSE_EQ|IN2320200032
656RJ29.NS,NSE_EQ|IN2920250304
656UP30.NS,NSE_EQ|IN3320200196
657AP30.NS,NSE_EQ|IN1020200219
657GA30.NS,NSE_EQ|IN1420200181
657GJ29.NS,NSE_EQ|IN1520200057
657GJ31.NS,NSE_EQ|IN1520200255
657GS2033.NS,NSE_EQ|IN0020160100
657HP30.NS,NSE_EQ|IN1720200113
657HP30A.NS,NSE_EQ|IN1720200121
657MH31.NS,NSE_EQ|IN2220200058
657MP30.NS,NSE_EQ|IN2120200109
657MZ35.NS,NSE_EQ|IN2520200030
657RJ30.NS,NSE_EQ|IN2920200135
657TN31.NS,NSE_EQ|IN3120200347
658AP30.NS,NSE_EQ|IN1020200169
658GA30.NS,NSE_EQ|IN1420200074
658GA30A.NS,NSE_EQ|IN1420200215
658GA31.NS,NSE_EQ|IN1420200231
658GJ27.NS,NSE_EQ|IN1520200347
658IRFC30.NS,NSE_EQ|INE053F08528
658JK30.NS,NSE_EQ|IN4920200057
658KA30.NS,NSE_EQ|IN1920200053
658MP35.NS,NSE_EQ|IN2120200117
658RJ30.NS,NSE_EQ|IN2920200119
658TN29.NS,NSE_EQ|IN3120250326
658UP30.NS,NSE_EQ|IN3320200188
659CG28.NS,NSE_EQ|IN3520210045
659HR30.NS,NSE_EQ|IN1620200122
659PFCL30.NS,NSE_EQ|INE134E08NU7
659RJ30.NS,NSE_EQ|IN2920200168
659RJ30A.NS,NSE_EQ|IN2920200499
659RJ31.NS,NSE_EQ|IN2920200564
659UP30.NS,NSE_EQ|IN3320200162
65AP30.NS,NSE_EQ|IN1020200227
65AP38.NS,NSE_EQ|IN1020200276
65GA30.NS,NSE_EQ|IN1420200090
65GA30A.NS,NSE_EQ|IN1420200108
65GJ30.NS,NSE_EQ|IN1520200206
65GJ30A.NS,NSE_EQ|IN1520200214
65KA30.NS,NSE_EQ|IN1920200152
65KA30A.NS,NSE_EQ|IN1920200434
65KL27.NS,NSE_EQ|IN2020200084
65NL30.NS,NSE_EQ|IN2620200054
65RJ30.NS,NSE_EQ|IN2920200325
65RJ50.NS,NSE_EQ|IN2920200291
65TN30.NS,NSE_EQ|IN3120200255
65UP30.NS,NSE_EQ|IN3320200055
65WB30.NS,NSE_EQ|IN3420200039
660AP39.NS,NSE_EQ|IN1020200292
660AP40.NS,NSE_EQ|IN1020200300
660RECL27.NS,NSE_EQ|INE020B08FZ9
660TN35.NS,NSE_EQ|IN3120250060
660TS30.NS,NSE_EQ|IN4520200101
661AP34.NS,NSE_EQ|IN1020250115
661GJ32.NS,NSE_EQ|IN1520250011
661KA30.NS,NSE_EQ|IN1920200319
661KA33.NS,NSE_EQ|IN1920200582
661KA35.NS,NSE_EQ|IN1920200202
661MP35.NS,NSE_EQ|IN2120200141
661MP37.NS,NSE_EQ|IN2120200232
661PFCL28.NS,NSE_EQ|INE134E08NS1
661RJ30.NS,NSE_EQ|IN2920200473
661RJ31.NS,NSE_EQ|IN2920200572
661RJ31A.NS,NSE_EQ|IN2920200598
661TS51.NS,NSE_EQ|IN4520200317
661UP31.NS,NSE_EQ|IN3320200238
661WB36.NS,NSE_EQ|IN3420200211
662AS30.NS,NSE_EQ|IN1220200175
662CG28.NS,NSE_EQ|IN3520210052
662GA31.NS,NSE_EQ|IN1420200256
662GS2051.NS,NSE_EQ|IN0020160092
662HR41.NS,NSE_EQ|IN1620200130
662JH30.NS,NSE_EQ|IN3720200028
662JK30.NS,NSE_EQ|IN4920200040
662KA32.NS,NSE_EQ|IN1920200343
662KA32A.NS,NSE_EQ|IN1920200541
662NL30.NS,NSE_EQ|IN2620200062
662PY28.NS,NSE_EQ|IN3820210034
662RJ30.NS,NSE_EQ|IN2920200507
662RJ41.NS,NSE_EQ|IN2920200606
662TS41.NS,NSE_EQ|IN4520200309
662UK30.NS,NSE_EQ|IN3620200052
662UP30.NS,NSE_EQ|IN3320200212
